sl no,education,experience,industry,skills,jobtitle,clust
347,35,9,49,11,5799,4
350,501,84,29,1,6757,1
351,1288,111,8,14,3293,3
352,1209,108,32,14,3333,3
353,40,11,29,11,5672,4
354,40,112,29,22,1524,0
356,1195,108,49,24,13825,2
357,35,112,49,29,5931,3
358,1027,3,62,33,14994,3
360,37,127,49,17,7858,4
361,37,112,29,25,15032,3
365,82,112,29,22,5944,1
366,35,142,8,10,12932,1
370,166,10,32,36,11711,3
372,260,124,16,42,11812,0
373,35,85,7,29,8509,2
374,35,12,8,10,7364,4
377,35,112,19,0,2151,4
378,35,127,29,17,8714,3
380,1154,0,30,35,4489,4
381,1319,104,28,13,8130,3
382,679,10,32,40,14575,3
385,35,112,29,11,398,4
386,87,24,44,32,5187,1
389,1589,44,30,36,1667,3
390,35,112,29,14,6657,4
394,40,120,29,14,2678,4
395,1631,24,44,35,5177,3
396,35,112,29,20,14967,4
397,1041,8,62,33,4800,4
398,409,136,55,36,2711,2
399,344,68,5,35,13878,2
401,37,19,49,16,12396,4
402,40,5,52,11,5492,3
403,1459,127,15,17,10516,3
407,846,111,7,29,4261,3
408,84,117,29,17,10370,2
409,1058,2,5,29,2907,3
410,1118,19,58,12,3457,1
411,40,11,49,17,2097,4
412,32,86,37,36,4038,2
413,37,85,49,29,10679,0
414,1105,24,44,36,4662,2
415,35,12,38,29,2920,3
416,35,111,29,14,10297,1
417,35,11,49,11,2166,1
418,1195,118,29,15,3678,3
423,40,2,29,29,2136,1
424,40,10,29,11,12419,2
426,5,3,42,6,7705,0
427,37,85,49,11,12415,1
428,1572,1,7,36,8921,4
429,35,103,8,7,390,1
430,35,110,29,14,8738,1
431,35,86,29,29,7973,3
433,1078,119,44,36,9970,2
434,37,102,7,29,11831,0
435,35,116,29,14,253,1
436,40,5,52,11,5492,3
437,40,68,44,36,4728,3
440,35,127,8,36,3973,4
445,1288,116,29,14,13649,4
447,1882,103,38,35,7571,0
449,40,104,8,36,14320,1
450,35,1,29,29,2069,2
451,1876,133,38,14,13590,3
452,35,127,19,36,11018,1
456,35,104,29,27,8632,1
457,35,103,29,14,2060,0
458,676,58,8,29,14592,4
460,82,104,29,14,8806,4
462,14,12,1,32,8579,2
463,2250,19,44,33,3442,3
465,1917,85,42,35,8271,2
467,35,127,48,36,10956,4
468,35,101,49,11,14330,3
469,35,8,49,29,5290,2
470,663,3,44,36,4098,3
472,35,19,8,36,14424,1
475,84,2,49,11,14062,3
478,1163,5,16,42,7688,4
479,715,112,7,36,3070,3
480,263,88,2,36,10871,4
481,378,112,29,14,3332,0
482,40,124,29,18,2949,4
483,2283,12,7,29,2134,4
484,37,101,29,25,13296,3
485,2239,12,38,33,8233,3
487,40,104,49,11,5697,3
490,749,1,44,33,14316,1
492,1744,16,42,22,4774,4
493,84,110,29,17,10493,3
494,40,101,29,14,12574,1
495,40,102,49,11,5808,0
497,1083,111,44,32,9368,4
499,2283,12,7,29,13960,1
500,260,108,29,14,14139,3
501,676,3,7,11,5376,2
503,46,2,8,0,1562,3
506,37,135,49,14,6860,4
509,1740,5,29,27,5641,0
510,1824,108,29,14,6208,1
511,2016,111,55,14,8385,2
512,35,3,49,29,4885,1
513,317,9,29,1,1734,4
514,40,104,17,40,9630,1
515,1426,111,29,14,633,4
516,35,11,8,36,10065,2
517,87,68,44,32,2409,3
520,378,124,29,14,249,4
521,1288,2,29,28,12327,2
523,260,116,8,36,10963,4
524,35,86,49,11,14569,2
527,1370,112,29,14,12406,3
528,35,86,49,32,976,1
529,84,104,44,11,9930,2
530,35,2,49,11,8503,3
531,35,111,29,11,11449,4
532,1321,1,29,14,5683,3
533,1407,102,16,14,12280,3
534,35,109,29,14,6901,1
535,35,4,29,36,5972,1
538,1766,8,13,14,6506,2
539,440,88,31,36,2711,3
540,40,10,29,29,2852,4
541,1201,5,29,14,12313,2
543,57,112,44,36,789,0
544,183,24,44,11,84,2
545,278,4,7,29,2865,4
546,84,110,29,16,8684,0
548,466,104,29,17,10423,3
549,40,107,29,14,6364,3
550,470,120,28,36,10932,2
551,82,87,19,36,7614,1
552,1048,5,38,33,7786,4
554,35,9,49,11,5743,1
557,35,108,29,14,3591,0
559,2,88,7,29,4763,3
560,492,10,29,14,403,4
561,448,112,48,38,3834,2
562,260,86,29,32,3376,4
563,37,9,49,11,14233,3
564,35,88,8,36,6624,3
565,35,111,8,36,3974,1
566,1736,126,29,14,47,1
567,1313,135,29,14,5580,3
569,953,1,7,29,270,1
573,35,112,29,14,137,2
575,40,11,15,29,13477,1
578,84,19,44,33,7804,4
579,1562,1,29,13,1425,4
580,873,87,15,0,1353,3
581,2283,12,7,29,2801,2
582,35,4,29,14,6821,4
583,1479,127,29,22,13274,3
584,278,4,7,29,2915,1
585,260,102,48,36,10781,4
586,671,110,55,21,3380,3
587,2143,88,13,35,7126,4
588,1680,1,44,29,7768,1
589,1195,119,29,14,6840,3
590,278,4,7,29,2866,4
592,94,86,29,36,10849,3
593,35,123,49,29,14055,0
596,881,12,29,17,5452,3
597,40,101,49,11,13391,2
598,1360,86,32,25,6907,2
599,278,4,7,29,2130,1
600,40,11,49,11,9933,4
601,1209,112,29,24,9771,2
604,1744,108,32,16,3087,1
605,101,112,54,0,10179,2
606,1815,9,29,14,4541,4
607,35,104,8,14,11771,3
608,343,88,16,42,258,0
610,35,102,49,11,8512,1
612,40,71,29,17,10402,4
613,84,10,7,29,2637,1
614,84,101,12,36,10880,3
616,1257,117,29,14,8622,3
617,1853,3,29,14,12260,4
618,40,119,29,14,9136,2
619,40,12,49,11,8514,3
620,2,5,5,35,3761,4
621,1833,109,29,14,9649,4
624,40,5,16,42,9217,3
626,803,84,13,2,6024,1
627,935,5,58,32,7169,1
628,260,86,19,5,2765,4
630,1869,111,8,38,3747,0
632,378,101,16,36,246,2
633,35,101,49,11,5673,4
635,32,9,49,11,7573,3
636,1316,0,29,14,5853,0
637,1288,116,38,14,1979,3
638,35,112,28,14,12566,1
640,1288,109,29,21,8673,1
641,412,2,49,36,1827,1
642,229,112,19,11,9118,3
643,35,86,49,11,5666,1
644,40,104,49,11,2450,0
645,42,8,13,12,4285,4
646,40,107,29,14,8522,1
647,1209,8,29,14,11233,2
649,106,88,0,0,5905,4
650,173,87,49,32,4192,4
651,35,111,8,10,2263,1
652,35,111,49,36,1789,1
653,1370,120,29,14,6258,3
655,35,10,49,11,5799,3
657,40,2,49,11,3487,2
659,1737,111,29,14,12186,0
660,278,4,7,29,2131,1
665,40,107,29,14,6350,3
668,169,37,29,11,11498,3
671,1736,101,13,14,3296,4
672,35,1,49,11,5657,4
674,40,101,49,11,12788,3
675,84,111,7,29,13423,3
677,35,104,1,32,2665,1
678,1378,101,29,14,16,3
680,1068,2,44,36,7791,3
681,1985,103,52,18,11844,1
682,166,9,49,36,4046,3
683,7,131,16,0,2234,1
684,184,0,29,11,4968,3
686,35,103,29,11,6435,1
687,1691,1,38,29,7771,1
689,40,123,29,21,5594,1
691,1288,86,38,14,1986,1
692,435,10,29,14,12073,4
693,35,12,7,29,11926,3
694,39,107,34,31,6800,3
695,1105,24,44,36,4661,4
697,42,8,13,0,339,4
699,40,112,14,36,172,2
700,37,109,29,14,11167,1
702,35,115,49,11,5229,4
703,4,101,58,11,4992,0
704,350,5,50,36,9151,1
705,378,136,29,14,12039,1
706,1317,0,29,14,4530,3
709,35,117,49,11,5631,4
711,663,104,29,27,2044,4
713,35,8,49,11,5809,4
714,984,103,30,5,13702,1
715,1125,5,38,33,4337,4
716,1349,133,5,32,7260,3
717,84,101,29,22,380,1
718,766,1,7,29,2900,1
719,263,109,30,35,10167,2
722,35,88,31,10,1440,4
723,84,101,29,14,639,2
725,84,110,29,17,10427,3
726,35,112,29,14,11062,1
727,1209,11,32,5,6596,3
728,970,124,29,0,12771,1
729,1306,102,29,14,9693,4
730,379,84,32,21,9748,4
732,440,88,31,36,3132,1
733,35,109,29,14,11050,4
734,263,125,7,11,7384,1
735,2245,85,38,33,1012,1
736,795,10,13,36,7617,0
737,15,104,5,0,4386,3
738,1291,111,29,14,13,1
739,24,85,13,32,1306,2
741,1937,125,5,35,13013,2
742,40,104,29,14,6656,1
746,35,85,49,11,6434,3
747,1647,103,30,35,11362,1
748,1691,1,38,29,7771,1
750,84,9,29,14,1236,4
751,191,9,16,36,10958,1
753,84,111,49,10,8861,1
754,1318,120,29,25,9829,1
756,269,3,32,36,10911,3
758,676,127,55,15,6128,4
759,278,4,7,29,2129,2
762,37,8,30,36,10831,4
763,35,125,29,14,14579,0
765,35,101,30,32,7594,2
768,37,88,16,41,8305,4
771,40,101,29,24,10660,4
772,1394,87,43,36,4792,1
773,278,4,7,29,13777,3
774,35,131,51,36,1679,4
775,1595,109,17,36,10964,2
776,1983,8,13,36,11941,1
777,2049,1,7,11,9931,3
778,1873,127,13,38,3739,3
780,169,64,13,40,2963,4
782,1692,1,44,29,7763,4
790,35,8,30,32,6751,1
791,715,12,31,36,10946,0
792,40,5,16,42,9168,1
794,1259,85,29,14,9692,1
795,37,136,49,14,11256,4
797,37,110,29,16,6875,1
798,2090,3,29,13,5858,2
800,1209,116,29,14,11748,4
802,1932,8,30,36,10832,1
803,676,136,44,29,11658,0
807,2283,12,7,29,13964,1
808,449,112,48,35,3839,1
811,40,5,0,0,7012,1
812,35,118,29,32,3384,3
814,1859,127,52,18,165,0
815,1101,131,44,36,157,1
817,40,2,49,11,8511,1
818,278,4,7,29,1484,1
819,35,84,49,11,9937,1
822,84,135,7,29,8566,1
823,35,12,8,36,10796,3
827,263,86,24,29,13473,2
830,21,101,34,1,11145,4
831,770,85,1,32,2468,3
833,35,101,29,14,4578,4
835,84,123,0,22,7420,1
836,1195,112,29,14,6377,1
837,13,10,29,36,11902,1
838,35,104,29,11,14057,4
840,35,112,29,14,6206,3
841,260,111,0,0,13236,3
842,35,112,29,14,6202,4
846,465,108,29,17,4688,3
847,35,5,50,11,8948,1
848,1496,117,29,17,13724,2
849,35,88,8,36,6623,4
850,35,11,49,11,9934,1
853,40,112,1,32,13450,0
854,35,108,49,11,5230,4
855,42,5,7,29,9311,4
857,114,124,29,0,6788,4
859,84,117,32,14,12779,4
860,35,19,7,1,7347,1
861,106,103,0,0,468,1
862,278,4,7,29,2919,2
864,40,9,49,11,13645,1
868,1495,9,29,25,6364,0
871,721,9,29,36,12331,1
872,35,85,49,11,13385,2
873,260,10,46,29,8906,1
874,1708,93,13,38,7682,3
875,1627,85,34,6,3242,3
876,84,136,49,14,9472,4
878,35,101,7,29,5291,4
879,2174,85,7,29,2470,4
881,2139,8,13,35,3831,2
883,40,12,49,11,4988,4
884,2,103,29,14,10478,2
886,1050,102,29,1,7610,4
890,40,120,29,14,5580,1
892,35,5,49,11,5822,4
893,1690,0,38,29,7776,1
894,183,11,49,11,5629,1
895,1222,104,6,18,11079,4
896,42,124,29,14,14318,3
898,115,110,32,0,4387,4
901,506,103,38,40,13127,4
902,13,10,29,36,6065,1
904,1395,104,11,36,9593,3
905,84,10,7,0,14751,3
906,35,85,49,11,5387,2
907,1318,102,55,14,9828,1
908,40,5,52,11,5491,2
909,836,101,0,0,7183,3
910,35,87,29,11,1583,1
911,263,12,31,36,6007,4
912,846,19,7,0,8156,2
914,163,17,19,32,2275,4
915,35,111,8,10,9361,0
916,1039,87,44,33,10201,3
917,1291,116,29,24,12943,2
918,676,120,29,15,1754,1
919,1151,5,29,23,12261,1
921,2177,8,50,36,13132,4
922,40,5,52,11,4972,4
923,2244,86,44,33,7781,4
924,40,107,49,29,4476,1
925,35,135,7,13,8068,1
927,1171,9,29,18,3067,1
928,1907,10,5,35,9513,1
929,38,2,44,36,10849,4
930,1195,119,29,14,11748,1
931,260,12,8,10,1560,4
932,234,88,29,32,7638,1
933,41,88,5,36,11708,2
934,35,40,8,43,2270,4
936,254,101,29,14,10297,3
937,2174,12,7,29,5426,4
938,37,108,1,14,3333,0
939,37,87,38,35,13451,2
940,1222,109,29,20,7981,1
942,2242,11,43,42,262,2
947,84,133,29,5,2764,0
948,175,104,8,10,6079,3
949,40,104,49,14,8535,3
950,35,116,34,41,12952,3
951,37,0,38,11,6029,4
952,35,12,8,10,12682,2
955,88,8,48,36,4072,3
956,32,1,38,33,4900,1
957,1288,111,8,15,5677,1
958,35,1,49,11,5731,1
959,2168,3,29,36,6952,3
961,37,107,29,24,11094,2
963,40,102,49,14,6275,2
964,84,102,29,22,6915,4
965,2,12,7,29,10683,2
966,35,85,49,11,12415,4
967,32,9,7,29,2348,4
971,1196,104,29,14,3785,1
972,34,109,8,36,14370,4
973,37,4,32,29,5502,2
974,40,5,52,11,4972,3
975,845,0,48,36,14794,4
976,2,88,7,29,4441,1
977,35,112,29,14,5729,4
978,166,122,32,0,4410,2
979,263,1,23,0,4802,3
980,35,12,7,29,11925,4
981,1646,102,33,35,7283,4
982,35,110,29,11,13018,3
985,32,1,29,7,14718,4
987,64,127,44,36,2757,1
988,35,1,49,11,8140,3
989,35,119,7,11,9545,3
990,482,9,40,11,5495,1
991,40,103,49,14,13985,4
992,82,3,58,29,14469,0
994,2,112,7,29,13409,1
995,35,88,62,42,12450,3
997,35,101,49,11,9927,2
999,35,111,19,36,379,1
1000,1291,123,29,16,12887,3
1001,743,111,29,22,6908,0
1002,40,104,49,14,8536,4
1003,263,87,7,29,3358,2
1004,40,24,31,36,15108,3
1006,260,9,7,29,9299,0
1008,84,110,29,14,1975,3
1009,1681,1,38,33,7753,4
1010,416,136,8,14,3120,4
1011,3,103,29,14,13826,4
1012,1155,127,52,18,6735,0
1013,822,101,13,32,9986,0
1014,1321,0,29,14,4491,4
1015,35,101,49,11,5812,0
1016,1562,1,29,13,10269,1
1017,1247,108,38,24,12329,3
1018,166,88,29,14,9473,1
1019,825,11,1,32,14483,1
1022,84,112,29,14,14965,2
1023,1493,112,8,14,682,4
1024,7,116,0,0,4418,4
1025,35,117,1,32,14362,4
1026,40,111,29,14,486,1
1027,84,120,29,14,8862,4
1028,13,104,8,10,7205,3
1029,88,142,22,36,10022,4
1032,84,112,49,22,6916,4
1033,2,12,7,29,11159,1
1036,84,111,29,17,10497,3
1037,458,102,32,14,12907,3
1039,1995,112,29,14,5712,3
1042,1777,86,8,24,13443,4
1043,663,5,43,29,11205,3
1045,888,125,8,10,1117,1
1046,1193,102,28,22,8102,3
1047,1814,86,8,19,11748,4
1048,35,1,7,29,2856,1
1049,35,86,38,32,7616,0
1050,263,8,29,11,5657,4
1051,2,86,11,36,10879,1
1052,1209,86,32,14,4541,1
1053,849,87,8,0,989,4
1054,1749,116,29,14,4903,4
1055,84,86,58,12,14553,4
1056,96,127,44,36,2758,4
1057,379,102,29,14,11338,4
1058,260,104,29,14,8281,2
1059,1562,1,29,13,14766,1
1061,226,9,29,11,11080,3
1062,84,117,58,36,13735,1
1063,1777,86,29,14,2553,3
1064,260,86,29,29,2917,3
1066,1621,85,30,36,10842,2
1067,169,84,32,11,13394,4
1068,40,85,44,33,2379,3
1069,194,109,8,1,12443,4
1071,1752,135,29,14,3095,3
1072,35,11,8,10,3131,1
1073,84,119,29,14,9610,3
1074,40,110,29,14,8599,4
1075,23,9,54,11,5056,4
1077,37,86,32,21,557,4
1079,37,85,29,13,7978,3
1080,1196,101,32,14,11736,1
1081,37,86,29,24,15072,4
1082,37,102,49,13,9156,4
1083,260,24,57,35,2923,1
1084,1334,3,16,36,2827,1
1085,1213,88,0,17,2533,1
1086,35,112,29,14,5729,2
1087,1777,107,8,29,1242,1
1089,84,108,29,17,10478,4
1090,462,112,8,14,688,1
1092,823,103,7,29,5330,4
1093,1288,8,8,1,9498,4
1094,1307,110,29,36,12332,4
1097,1850,117,55,24,6680,0
1099,40,111,29,14,5886,4
1100,35,2,7,29,1090,3
1104,37,112,29,21,6856,0
1105,676,19,16,36,6626,1
1107,478,102,29,14,5815,1
1108,35,112,29,14,5781,1
1109,82,119,29,14,12552,2
1110,84,8,0,29,370,0
1111,84,117,49,14,6253,1
1114,1744,133,38,14,12319,0
1115,1275,120,29,21,11748,4
1116,1000,12,38,36,1826,3
1119,260,5,29,0,350,2
1120,37,101,29,14,11769,4
1121,40,111,29,14,487,4
1122,7,120,32,0,4412,4
1123,3,112,29,17,5839,1
1124,1777,86,29,14,11072,1
1125,1225,104,15,13,5123,1
1126,260,1,29,11,5378,3
1130,260,115,8,29,2026,1
1132,40,103,29,14,14194,0
1133,1783,18,29,36,11238,2
1134,851,18,52,0,7382,2
1135,84,120,29,14,8865,3
1136,1470,42,29,14,6478,3
1137,42,127,29,14,13306,3
1140,46,110,29,22,2298,1
1141,40,104,29,23,8362,3
1142,35,85,28,36,1807,4
1149,84,19,29,14,7091,3
1151,676,140,28,13,13731,4
1152,1507,104,29,14,8642,2
1153,676,109,28,14,13738,1
1154,37,136,48,11,5147,2
1156,40,111,29,25,5887,1
1158,84,64,7,29,11294,2
1159,1225,19,32,21,7922,4
1160,84,103,7,14,6990,1
1161,37,110,29,18,14586,4
1162,260,104,29,14,5526,1
1163,84,101,29,14,11974,4
1164,181,85,34,10,11188,1
1166,1160,11,58,12,2454,4
1167,663,127,19,39,11557,2
1168,84,112,49,17,8747,3
1171,37,3,7,29,2910,1
1173,1247,102,29,14,12251,1
1174,2283,12,7,29,2133,1
1176,35,111,29,14,13826,4
1179,826,103,51,36,2220,2
1181,101,112,54,0,10179,0
1182,84,112,49,17,10333,2
1183,260,87,43,35,11892,1
1184,84,116,29,14,7934,4
1186,84,20,29,14,7088,1
1187,296,104,49,11,8369,1
1188,315,5,11,36,10988,4
1190,238,109,45,32,4056,1
1193,37,86,32,21,15187,4
1194,1291,87,29,13,9070,3
1195,1247,118,29,14,11218,1
1196,84,101,49,21,557,4
1197,37,1,7,29,2816,1
1198,106,86,29,0,7228,0
1201,743,9,7,29,7745,2
1202,84,87,49,14,6359,0
1203,41,109,16,42,3905,3
1205,40,135,44,36,10028,2
1206,84,101,38,33,9086,2
1208,796,125,13,6,14118,1
1211,37,112,29,21,11857,4
1212,106,102,55,0,7229,1
1213,888,9,8,0,2049,4
1214,260,4,37,5,4822,1
1216,84,9,55,24,203,4
1217,84,104,49,14,6152,4
1218,40,110,29,22,8427,2
1219,1195,135,29,14,14426,2
1221,260,86,8,29,2026,3
1222,406,9,32,14,4581,4
1224,40,111,29,23,8417,4
1226,1777,64,8,14,687,3
1229,1211,64,29,16,1458,2
1231,84,101,49,17,10333,1
1232,1247,102,29,14,10552,0
1233,84,112,29,17,10332,1
1237,2085,1,49,29,1240,3
1239,993,133,44,33,4725,1
1240,40,119,29,23,6264,2
1241,40,10,58,44,2117,3
1242,84,85,49,22,6912,1
1243,40,118,28,13,5326,3
1244,1291,111,49,14,14,1
1245,743,111,54,16,8713,0
1246,36,120,29,14,9474,4
1247,1296,127,55,20,6260,3
1248,1459,9,32,14,637,2
1249,37,119,29,13,8157,1
1250,1750,85,29,14,14015,1
1252,1748,127,29,14,6477,1
1254,1429,1,29,29,9395,3
1255,1731,24,48,38,9520,3
1256,84,101,32,14,14076,1
1257,1492,101,55,18,1987,2
1259,1196,103,32,14,12573,4
1260,1777,86,29,17,7693,4
1261,35,103,29,14,13106,4
1263,278,4,7,29,3127,2
1264,35,10,29,14,6229,4
1265,260,101,29,0,4403,4
1266,84,126,32,14,5694,4
1267,84,103,49,14,6180,3
1270,395,84,32,14,3832,3
1271,402,102,29,14,11464,3
1272,1777,112,8,14,2054,4
1274,379,119,32,21,14107,2
1275,1493,112,8,14,679,3
1277,1470,104,29,14,11364,4
1279,1556,127,19,35,7153,1
1281,37,108,7,29,368,3
1283,768,111,55,32,10185,3
1284,183,0,31,11,8611,3
1285,37,118,8,25,14987,3
1286,1196,104,29,23,15051,1
1287,84,102,49,14,6317,1
1288,376,86,29,17,4041,3
1289,37,108,55,24,7567,1
1290,169,61,48,11,14528,4
1291,84,85,38,33,6689,3
1293,225,18,0,43,1145,3
1295,84,86,32,1,3061,2
1296,932,108,22,40,4232,1
1297,1209,84,32,22,12162,3
1298,305,12,5,36,14755,3
1299,37,102,55,14,6302,1
